income_band,category_l1,drcr_ind,cnt_cust,avg_prop,min_prop,max_prop,var_prop,median
30,BRANCH CHARGES,D,60,0.0001701436,1.07488731373451E-005,0.0015421968,0.000000077,5.40502296644263E-005
30,CLOSING,D,4,0.0027190172,4.22578659708961E-006,0.0096212011,0.000016084,0.000625321
30,CONSUMPTION,D,231,0.1638347855,0.0014409126,0.9227557182,0.0247947286,0.119515121
30,FOREX CHARGES,D,43,0.001105511,1.06227889773436E-006,0.0194014478,9.69011894636863E-006,0.0001841474
30,INVESTMENT,D,80,0.0879193136,0.0001556848,0.6755003333,0.0195613592,0.0399561003
30,KIDS,D,2,0.0028916368,0.0018451426,0.003938131,1.09515017668697E-006,0.0028916369
30,LOCKER CHARGES,D,1,0.0008235298,0.0008235298,0.0008235298,0,0.0008235298
30,LOW BALANCE CHARGES,D,13,0.0017488611,3.9552276575705E-005,0.0099909166,8.25217408778775E-006,0.0002028813
30,SAVINGS,D,79,0.1993015169,0.0002818262,0.9561151266,0.058320786,0.0925024822
30,STOCK CHARGES,D,2,0.0002671129,0.000173485,0.0003607408,8.76617603980419E-009,0.0002671129
31,BOUNCE,D,6,0.0737586417,0.0001213563,0.3343156874,0.0140331145,0.0195969697
31,CHARITY,D,2,0.0011049728,0.0004043325,0.0018056131,4.90896793358145E-007,0.0011049728
31,INSURANCE,D,95,0.0165397618,0.0002429459,0.2122239769,0.0007451732,0.0075770826
31,ONLINE WALLET,D,15,0.0004085994,2.78515126410639E-005,0.0018190916,2.21544650394522E-007,0.0002146914
31,PERSONAL,D,68,0.0317695939,0.000003926,0.3514023125,0.0029182732,0.0136105213
